% 1. Title : data/scala.test.comment
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-12-04
@RELATION BUGGY
@ATTRIBUTE Kincaid numeric
@ATTRIBUTE Diction numeric
@ATTRIBUTE Queequeg numeric
@ATTRIBUTE classification {clean,buggy}

@DATA
3.5,2,1,buggy
2.6,0,1,buggy
3.6,0,1,clean
10.6,3,2,clean
2.8,0,1,clean
7.1,1,2,clean
3.0,2,1,clean
1.1,1,1,buggy
5.9,2,1,buggy
1.0,3,3,clean
1.5,9,4,buggy
4.8,1,2,clean
-1.1,0,1,clean
-0.6,7,1,clean
3.6,1,1,clean
2.4,1,1,clean
2.8,2,3,clean
3.8,4,5,buggy
9.5,0,2,clean
4.8,2,1,buggy
4.7,2,1,buggy
3.9,2,3,clean
4.2,4,2,clean
-0.7,0,1,clean
-0.3,0,1,buggy
6.7,0,1,clean
2.8,0,1,clean
3.6,1,1,clean
23.7,2,1,clean
2.6,3,2,clean
3.6,0,1,buggy
3.0,3,4,clean
0.9,1,2,clean
0.5,0,1,clean
2.8,0,1,clean
-1.4,0,1,clean
0.7,0,2,clean
3.5,2,1,clean
5.2,1,1,clean
1.7,7,5,clean
3.6,0,1,buggy
0.9,0,1,clean
3.2,3,2,buggy
4.0,2,2,buggy
3.3,2,2,clean
3.2,0,1,clean
0.8,0,1,clean
4.8,1,1,clean
-2.2,0,1,clean
-1.8,0,1,clean
3.5,3,3,clean
-0.7,0,1,clean
-1.4,0,1,buggy
1.7,2,1,clean
3.1,1,5,clean
-1.1,0,2,clean
-1.4,0,2,clean
-0.5,0,1,clean
-1.8,0,1,clean
-2.6,0,1,buggy
-0.3,1,1,clean
3.2,2,3,buggy
0.9,1,1,buggy
2.1,0,1,clean
-1.4,0,1,clean
-1.4,0,1,clean
-1.8,0,1,clean
5.2,2,2,clean
0.8,0,2,buggy
0.1,1,2,clean
-0.9,2,1,clean
-0.7,2,1,clean
2.6,1,2,clean
0.8,4,1,clean
0.3,2,2,clean
-1.7,0,1,clean
0.7,1,2,clean
-2.2,0,1,buggy
-0.5,0,1,buggy
1.2,7,3,buggy
-1.4,0,1,buggy
3.5,3,3,clean
-1.1,1,1,clean
-1.4,0,1,clean
-1.8,0,1,clean
-3.0,0,1,clean
-1.8,0,1,clean
2.6,12,10,buggy
0.4,3,2,clean
1.9,1,3,buggy
2.4,1,4,clean
-0.1,2,2,buggy
4.5,0,2,clean
3.1,3,4,clean
2.3,1,2,clean
5.2,1,1,clean
2.5,5,10,buggy
-0.3,0,1,buggy
1.9,4,4,buggy
-1.1,0,1,clean
8.5,2,1,clean
1.5,0,2,clean
2.8,1,2,buggy
3.0,2,3,clean
0.3,2,2,buggy
2.3,2,1,clean
1.4,4,2,clean
3.9,2,1,clean
4.8,1,4,buggy
1.8,0,2,clean
-0.4,2,2,clean
3.8,2,2,buggy
1.3,0,1,clean
3.1,3,4,clean
0.9,0,1,clean
2.2,2,2,clean
4.4,3,1,clean
-0.3,0,1,clean
-1.1,0,1,buggy
3.4,3,2,clean
-1.4,6,3,clean
2.7,2,4,buggy
8.8,2,3,buggy
5.2,2,1,clean
0.8,3,2,buggy
3.7,4,1,clean
2.8,6,3,clean
-1.4,0,1,clean
0.9,1,1,clean
2.2,2,2,clean
3.4,2,1,clean
-2.2,0,1,clean
3.1,2,1,clean
1.4,2,4,buggy
-0.5,1,2,clean
-1.4,0,1,clean
-1.8,0,1,clean
-0.5,0,1,clean
-1.3,2,1,clean
4.8,4,2,buggy
1.7,1,1,clean
6.7,0,2,clean
1.9,5,1,clean
2.8,9,4,clean
-0.2,0,1,buggy
3.2,1,2,clean
5.3,3,4,clean
1.1,0,1,clean
-1.0,2,1,clean
0.5,0,1,buggy
-0.3,1,3,buggy
1.7,0,1,clean
3.0,0,2,buggy
2.3,2,1,clean
1.3,0,1,clean
0.6,0,1,clean
0.6,0,1,clean
7.1,0,1,clean
4.5,2,5,clean
2.8,2,2,clean
3.5,8,5,buggy
4.0,9,6,clean
2.1,5,2,clean
-1.1,0,1,clean
-1.4,0,1,clean
-1.8,0,1,clean
-2.2,0,1,clean
-1.4,0,1,clean
-0.3,0,1,clean
4.0,0,1,buggy
-0.5,0,1,buggy
-1.4,0,1,clean
-0.3,0,1,clean
-0.1,1,2,buggy
-0.7,0,1,clean
-0.7,0,1,clean
3.5,3,3,clean
2.7,4,3,clean
-2.2,0,1,clean
-1.1,0,1,buggy
-0.3,0,1,buggy
-0.3,0,1,buggy
-0.7,0,1,clean
-1.1,0,1,buggy
-1.4,0,1,clean
0.5,0,1,buggy
2.3,1,1,buggy
-0.1,1,1,clean
1.4,2,3,buggy
3.6,6,2,clean
-0.5,3,1,clean
5.4,1,1,clean
0.9,0,1,clean
3.2,0,1,clean
-0.3,0,1,clean
2.0,3,2,clean
0.9,1,1,clean
0.3,2,2,clean
0.5,0,2,buggy
4.6,7,7,clean
4.3,2,2,clean
3.0,1,3,clean
11.0,1,1,clean
1.0,1,2,clean
2.3,2,2,buggy
5.6,2,3,clean
3.0,4,3,clean
-2.2,0,1,clean
-0.3,0,1,clean
-0.3,0,1,clean
4.2,2,2,clean
3.2,1,1,clean
3.6,4,4,clean
2.3,2,1,clean
2.9,3,2,clean
3.1,1,4,clean
3.6,1,1,buggy
5.6,1,1,buggy
4.2,9,1,buggy
0.6,2,2,clean
2.8,4,2,clean
2.6,1,1,clean
7.4,5,5,clean
-0.3,2,1,buggy
3.0,4,7,buggy
3.1,2,2,clean
3.2,0,1,clean
-0.1,1,1,clean
-0.9,2,2,clean
2.9,3,1,clean
9.9,0,2,clean
5.2,2,2,buggy
-2.2,0,1,clean
6.4,2,2,buggy
3.2,0,1,buggy
8.1,2,4,buggy
6.0,1,1,buggy
-0.0,1,3,clean
0.5,1,2,clean
2.0,7,3,clean
0.0,2,3,buggy
4.5,5,5,buggy
5.7,3,2,clean
2.7,3,4,buggy
0.8,6,2,buggy
2.4,0,1,buggy
16.1,1,1,clean
0.9,0,1,buggy
2.4,0,1,buggy
1.3,1,1,buggy
-1.2,0,1,clean
-0.3,0,1,clean
-0.7,0,1,clean
-2.0,0,1,buggy
2.0,4,3,clean
-0.7,0,1,clean
12.6,0,1,clean
3.2,0,1,clean
2.3,0,1,clean
0.7,2,1,clean
2.4,1,2,clean
6.0,0,1,clean
6.0,1,1,buggy
4.4,3,4,clean
-0.6,3,2,clean
1.0,1,2,clean
2.5,3,3,clean
3.2,1,3,clean
2.4,1,2,buggy
12.2,0,1,buggy
3.4,1,1,clean
0.4,3,5,clean
2.6,1,1,clean
4.4,0,1,clean
1.8,3,3,clean
1.8,7,2,clean
2.2,3,3,buggy
4.9,4,5,clean
0.7,1,1,clean
1.7,1,1,clean
3.8,4,3,clean
4.8,1,2,clean
1.4,3,3,clean
6.0,0,1,clean
3.5,0,2,clean
-0.5,0,3,clean
-1.5,1,2,buggy
2.5,5,4,clean
0.9,4,9,clean
-1.4,0,1,clean
0.5,0,1,clean
0.7,7,5,buggy
0.5,3,2,clean
-0.1,1,1,clean
1.3,3,2,clean
19.2,1,3,buggy
5.4,2,1,clean
5.8,4,7,clean
2.1,1,1,clean
-1.6,0,1,clean
0.7,1,1,clean
-1.8,0,1,clean
3.2,1,2,clean
-0.7,0,1,clean
5.2,1,1,clean
-0.8,8,6,buggy
2.4,2,1,clean
1.2,2,4,buggy
1.9,8,3,clean
1.7,5,3,buggy
-1.8,3,1,clean
-2.6,0,1,clean
-0.2,1,2,clean
-2.2,0,1,clean
13.8,1,1,clean
-0.4,1,1,buggy
0.3,7,7,clean
-0.1,4,1,clean
0.5,1,1,clean
-1.2,0,1,clean
6.8,6,5,clean
2.8,2,1,clean
2.8,1,1,clean
-2.6,0,1,clean
-1.4,0,1,clean
0.6,2,1,clean
-0.2,3,2,clean
3.2,2,3,clean
1.0,1,2,clean
3.0,1,3,clean
4.6,3,2,clean
0.5,0,1,clean
6.7,0,1,clean
7.5,0,1,clean
9.5,1,2,clean
-1.8,0,1,clean
4.4,2,3,clean
-2.8,0,1,clean
9.9,0,2,clean
0.6,2,4,clean
0.3,5,2,clean
-1.0,3,1,clean
3.4,7,4,clean
7.1,0,2,clean
6.4,0,2,clean
3.8,0,1,clean
7.1,0,1,clean
1.7,3,3,buggy
-0.7,0,1,clean
0.1,0,1,clean
1.9,9,4,clean
0.1,0,1,clean
3.6,1,3,clean
0.9,1,1,clean
0.1,1,1,clean
-0.3,0,1,clean
4.3,0,3,clean
0.1,0,1,clean
-0.7,0,1,clean
-0.3,0,1,clean
4.4,1,1,clean
0.9,0,1,clean
-0.3,0,1,clean
1.3,0,1,clean
4.0,4,3,clean
7.8,5,3,buggy
4.2,3,4,buggy
3.5,4,2,buggy
12.2,1,2,clean
-1.8,0,1,buggy
3.8,2,2,buggy
4.6,6,4,clean
6.0,1,1,clean
2.8,0,2,clean
3.6,1,1,clean
6.0,3,3,clean
-2.2,0,1,clean
5.6,2,1,clean
1.7,0,1,clean
3.2,0,1,clean
8.1,1,1,clean
0.1,0,1,clean
4.1,3,2,buggy
5.7,3,9,clean
10.1,2,1,clean
1.8,2,5,clean
-2.0,0,1,clean
6.7,1,2,clean
0.5,1,1,clean
5.5,7,2,clean
-0.7,0,1,clean
-1.3,0,1,clean
-3.0,0,1,clean
-2.8,0,1,clean
-1.4,1,1,buggy
-1.8,0,1,clean
-0.7,1,2,clean
0.1,0,1,buggy
-1.4,0,1,clean
2.2,1,1,clean
0.7,2,1,buggy
0.4,2,3,clean
3.4,3,4,clean
-2.4,0,1,buggy
5.7,0,2,buggy
11.8,1,2,clean
6.0,7,4,clean
-1.4,0,1,clean
2.8,3,1,clean
1.3,0,1,clean
1.7,0,2,clean
4.2,1,2,buggy
-1.4,0,1,clean
-1.8,1,1,clean
-0.7,0,1,clean
-2.2,0,1,buggy
0.5,0,1,buggy
2.3,0,2,clean
4.0,0,2,clean
2.2,9,6,clean
0.9,0,2,clean
0.5,2,1,clean
-0.3,0,1,clean
0.2,3,3,clean
0.5,0,1,clean
5.2,2,2,clean
0.9,0,2,clean
2.4,0,2,clean
2.6,5,3,clean
4.2,7,3,clean
1.4,5,4,clean
2.9,2,2,clean
1.5,2,2,clean
3.6,3,2,clean
-0.7,0,1,clean
3.4,2,2,clean
3.6,0,1,clean
-1.4,0,1,clean
-1.4,0,1,clean
-0.3,0,1,clean
-0.0,0,1,clean
2.3,1,2,buggy
5.7,5,2,clean
1.5,2,2,clean
2.4,2,4,clean
1.2,3,1,buggy
-1.8,0,1,clean
1.3,1,2,clean
2.1,0,1,clean
1.8,3,2,clean
2.8,1,2,clean
-1.4,0,1,clean
6.0,0,1,clean
10.6,0,1,clean
-0.3,0,1,buggy
2.7,21,11,clean
3.6,0,1,buggy
-0.7,0,1,clean
1.7,1,1,clean
-1.8,0,1,clean
2.1,1,1,clean
1.1,0,1,clean
2.8,5,8,buggy
4.0,7,4,clean
3.5,2,2,clean
0.3,1,1,clean
-1.3,0,2,clean
-1.4,0,1,clean
3.8,0,1,clean
0.7,6,4,clean
-0.3,0,1,clean
-1.8,0,1,clean
1.1,0,1,clean
-1.4,0,1,clean
4.0,1,1,buggy
4.0,4,3,clean
0.1,0,1,clean
-2.2,0,1,clean
3.3,5,4,clean
4.2,1,3,clean
6.0,0,2,clean
1.0,2,1,clean
1.2,5,1,clean
0.2,1,2,clean
1.3,0,1,clean
-0.7,0,1,clean
3.0,1,1,clean
-1.4,0,1,clean
2.6,1,1,clean
4.0,2,2,clean
1.9,2,1,clean
-1.1,0,1,clean
-1.4,0,1,clean
4.5,0,1,clean
-1.2,0,1,clean
0.8,3,3,clean
-1.4,0,1,clean
-0.7,0,1,clean
-0.3,0,1,clean
-0.3,0,1,clean
2.4,2,6,clean
3.0,3,2,buggy
4.1,2,1,clean
2.4,1,1,clean
3.6,0,2,clean
5.6,0,1,clean
1.3,0,1,clean
5.8,1,3,clean
3.4,1,2,clean
4.7,1,1,buggy
-0.7,0,1,clean
-0.7,1,2,clean
-2.6,0,1,clean
6.2,2,3,clean
0.5,0,1,clean
-0.7,0,1,buggy
3.6,9,12,clean
0.9,0,2,buggy
-1.4,0,1,clean
3.6,1,1,clean
-1.1,0,1,clean
2.4,1,2,clean
1.2,1,1,clean
2.7,2,4,clean
1.7,0,4,clean
-0.7,0,1,clean
1.9,1,3,clean
-3.0,0,1,clean
-0.7,1,1,clean
2.8,2,2,clean
3.5,9,12,clean
-1.7,10,5,clean
-0.9,1,1,clean
0.5,4,2,clean
2.2,2,2,buggy
9.5,1,1,buggy
8.7,1,1,clean
-1.8,0,1,clean
-1.1,0,1,clean
0.9,4,3,clean
-1.8,0,1,clean
-2.2,0,1,clean
1.1,1,1,clean
2.6,1,1,clean
1.1,0,2,clean
4.6,0,2,clean
6.4,0,1,clean
5.6,1,1,clean
2.1,0,2,clean
7.8,1,2,clean
1.3,2,3,clean
1.5,2,2,clean
3.6,1,1,clean
2.8,1,1,clean
-2.2,0,1,clean
2.8,1,1,clean
1.2,2,3,clean
2.6,5,4,clean
2.1,2,2,clean
-1.1,0,1,clean
5.4,1,1,clean
0.2,3,2,clean
9.1,0,1,clean
0.1,1,2,clean
3.4,5,2,clean
-1.4,0,1,clean
-1.6,3,5,clean
5.2,1,1,clean
8.0,3,2,clean
4.9,2,3,clean
7.5,2,2,clean
8.3,1,1,clean
-2.2,0,1,clean
3.4,2,2,clean
2.0,7,10,buggy
1.7,0,1,buggy
1.3,2,2,clean
